[WARN  Mon Jun 22 18:03:32 2026] ...rver/src/move_item.lua:35: The scanned content of an inv has been removed in some capacity by an external source (not stockpile - hopper taking items out or hand taking out, command blocks...). Therefore, it tries to move an item which is accually not there anymore (or not in the requiered quantity)
[WARN  Mon Jun 22 18:03:32 2026] ...rver/src/move_item.lua:36: order to move qty 37 | Real moved : 0
[WARN  Mon Jun 22 18:03:32 2026] ...rver/src/move_item.lua:37: from_inv, from_slot, to_inv, to_slot
[WARN  Mon Jun 22 18:03:32 2026] ...rver/src/move_item.lua:38: minecraft:chest_0 18 minecraft:chest_14 12
[ERROR Mon Jun 22 18:03:32 2026] ...rver/src/move_item.lua:39: Corrupted db ! You have to fix your input and ouput systems to stockpile and rescan the whole storage system (or affected parts)
[DEBUG Mon Jun 22 18:03:32 2026] ...e_server/src/comms.lua:69: Results : "done" 11541
[DEBUG Mon Jun 22 18:03:52 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:03:52 2026] ...e_server/src/comms.lua:69: Results : "done" 59766
[DEBUG Mon Jun 22 18:04:06 2026] ...e_server/src/comms.lua:66: cmd recieved = "move_item"
[DEBUG Mon Jun 22 18:04:06 2026] ...e_server/src/comms.lua:69: Results : "done" 54734
[DEBUG Mon Jun 22 18:04:07 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:04:07 2026] ...e_server/src/comms.lua:69: Results : "done" 59953
[DEBUG Mon Jun 22 18:24:26 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:24:26 2026] ...e_server/src/comms.lua:69: Results : "done" 53551
[DEBUG Mon Jun 22 18:24:28 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 18:24:28 2026] ...e_server/src/comms.lua:69: Results : "done" 15243
[DEBUG Mon Jun 22 18:24:47 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:24:47 2026] ...e_server/src/comms.lua:69: Results : "done" 31414
[DEBUG Mon Jun 22 18:24:48 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 18:24:48 2026] ...e_server/src/comms.lua:69: Results : "done" 42796
[DEBUG Mon Jun 22 18:27:47 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:27:47 2026] ...e_server/src/comms.lua:69: Results : "done" 12404
[DEBUG Mon Jun 22 18:27:48 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 18:27:48 2026] ...e_server/src/comms.lua:69: Results : "done" 53327
[DEBUG Mon Jun 22 18:29:56 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:29:56 2026] ...e_server/src/comms.lua:69: Results : "done" 30683
[DEBUG Mon Jun 22 18:29:57 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 18:29:57 2026] ...e_server/src/comms.lua:69: Results : "done" 26203
[DEBUG Mon Jun 22 18:52:36 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:52:36 2026] ...e_server/src/comms.lua:69: Results : "done" 41612
[DEBUG Mon Jun 22 18:52:37 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 18:52:37 2026] ...e_server/src/comms.lua:69: Results : "done" 20532
[DEBUG Mon Jun 22 18:52:40 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 18:52:40 2026] ...e_server/src/comms.lua:69: Results : "done" 55810
[DEBUG Mon Jun 22 18:52:41 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 18:52:41 2026] ...e_server/src/comms.lua:69: Results : "done" 5912
[DEBUG Mon Jun 22 19:01:11 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:01:11 2026] ...e_server/src/comms.lua:69: Results : "done" 53657
[DEBUG Mon Jun 22 19:01:12 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:01:12 2026] ...e_server/src/comms.lua:69: Results : "done" 38874
[DEBUG Mon Jun 22 19:02:53 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:02:53 2026] ...e_server/src/comms.lua:69: Results : "done" 22694
[DEBUG Mon Jun 22 19:02:54 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:02:54 2026] ...e_server/src/comms.lua:69: Results : "done" 24202
[DEBUG Mon Jun 22 19:07:26 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:07:26 2026] ...e_server/src/comms.lua:69: Results : "done" 10632
[DEBUG Mon Jun 22 19:07:27 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:07:27 2026] ...e_server/src/comms.lua:69: Results : "done" 49672
[DEBUG Mon Jun 22 19:08:06 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:08:06 2026] ...e_server/src/comms.lua:69: Results : "done" 26830
[DEBUG Mon Jun 22 19:08:07 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:08:07 2026] ...e_server/src/comms.lua:69: Results : "done" 48456
[DEBUG Mon Jun 22 19:09:21 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:09:21 2026] ...e_server/src/comms.lua:69: Results : "done" 57024
[DEBUG Mon Jun 22 19:09:22 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:09:22 2026] ...e_server/src/comms.lua:69: Results : "done" 6741
[DEBUG Mon Jun 22 19:11:14 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:11:14 2026] ...e_server/src/comms.lua:69: Results : "done" 51425
[DEBUG Mon Jun 22 19:11:15 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:11:15 2026] ...e_server/src/comms.lua:69: Results : "done" 24031
[DEBUG Mon Jun 22 19:13:03 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:13:03 2026] ...e_server/src/comms.lua:69: Results : "done" 36529
[DEBUG Mon Jun 22 19:13:04 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:13:04 2026] ...e_server/src/comms.lua:69: Results : "done" 30222
[DEBUG Mon Jun 22 19:13:04 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:13:04 2026] ...e_server/src/comms.lua:69: Results : "done" 40628
[DEBUG Mon Jun 22 19:13:17 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:13:17 2026] ...e_server/src/comms.lua:69: Results : "done" 60988
[DEBUG Mon Jun 22 19:13:18 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:13:18 2026] ...e_server/src/comms.lua:69: Results : "done" 23564
[DEBUG Mon Jun 22 19:13:18 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:13:18 2026] ...e_server/src/comms.lua:69: Results : "done" 64178
[DEBUG Mon Jun 22 19:14:53 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:14:53 2026] ...e_server/src/comms.lua:69: Results : "done" 61516
[DEBUG Mon Jun 22 19:14:54 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:14:54 2026] ...e_server/src/comms.lua:69: Results : "done" 5577
[DEBUG Mon Jun 22 19:19:23 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:19:23 2026] ...e_server/src/comms.lua:69: Results : "done" 30894
[DEBUG Mon Jun 22 19:19:24 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:19:24 2026] ...e_server/src/comms.lua:69: Results : "done" 39708
[DEBUG Mon Jun 22 19:19:28 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:19:28 2026] ...e_server/src/comms.lua:69: Results : "done" 20938
[DEBUG Mon Jun 22 19:19:29 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:19:29 2026] ...e_server/src/comms.lua:69: Results : "done" 24128
[DEBUG Mon Jun 22 19:20:59 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:20:59 2026] ...e_server/src/comms.lua:69: Results : "done" 12888
[DEBUG Mon Jun 22 19:21:00 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:21:00 2026] ...e_server/src/comms.lua:69: Results : "done" 11304
[DEBUG Mon Jun 22 19:22:17 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:22:17 2026] ...e_server/src/comms.lua:69: Results : "done" 34109
[DEBUG Mon Jun 22 19:22:18 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:22:18 2026] ...e_server/src/comms.lua:69: Results : "done" 2474
[DEBUG Mon Jun 22 19:22:29 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:22:29 2026] ...e_server/src/comms.lua:69: Results : "done" 21552
[DEBUG Mon Jun 22 19:22:31 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:22:31 2026] ...e_server/src/comms.lua:69: Results : "done" 23135
[DEBUG Mon Jun 22 19:22:42 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:22:42 2026] ...e_server/src/comms.lua:69: Results : "done" 37455
[DEBUG Mon Jun 22 19:22:43 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:22:43 2026] ...e_server/src/comms.lua:69: Results : "done" 60918
[DEBUG Mon Jun 22 19:22:59 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:22:59 2026] ...e_server/src/comms.lua:69: Results : "done" 38290
[DEBUG Mon Jun 22 19:23:01 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:23:01 2026] ...e_server/src/comms.lua:69: Results : "done" 6263
[DEBUG Mon Jun 22 19:23:15 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:23:15 2026] ...e_server/src/comms.lua:69: Results : "done" 13031
[DEBUG Mon Jun 22 19:23:16 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:23:16 2026] ...e_server/src/comms.lua:69: Results : "done" 3355
[DEBUG Mon Jun 22 19:24:18 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:24:18 2026] ...e_server/src/comms.lua:69: Results : "done" 20223
[DEBUG Mon Jun 22 19:24:19 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:24:19 2026] ...e_server/src/comms.lua:69: Results : "done" 49842
[DEBUG Mon Jun 22 19:24:52 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:24:52 2026] ...e_server/src/comms.lua:69: Results : "done" 59691
[DEBUG Mon Jun 22 19:24:53 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:24:53 2026] ...e_server/src/comms.lua:69: Results : "done" 44340
[DEBUG Mon Jun 22 19:25:07 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:25:07 2026] ...e_server/src/comms.lua:69: Results : "done" 18461
[DEBUG Mon Jun 22 19:25:08 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:25:08 2026] ...e_server/src/comms.lua:69: Results : "done" 49060
[DEBUG Mon Jun 22 19:26:10 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:26:10 2026] ...e_server/src/comms.lua:69: Results : "done" 10833
[DEBUG Mon Jun 22 19:26:11 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:26:11 2026] ...e_server/src/comms.lua:69: Results : "done" 46064
[DEBUG Mon Jun 22 19:26:20 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:26:20 2026] ...e_server/src/comms.lua:69: Results : "done" 24505
[DEBUG Mon Jun 22 19:26:21 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:26:21 2026] ...e_server/src/comms.lua:69: Results : "done" 58555
